Unnamed: 0,member_id,recipe_id,rating,rating_normalized
1,8688,21111,5.0,1.0
2,245530,41977,5.0,1.0
3,2002800012,65469,4.0,0.75
4,326425,65469,5.0,1.0
5,126440,65469,5.0,1.0
6,140132,65469,5.0,1.0
7,286566,65469,5.0,1.0
8,906665,65469,3.0,0.5
9,1058097,65469,5.0,1.0
10,368897,65469,5.0,1.0
11,736554,65469,4.0,0.75
12,323186,65469,5.0,1.0
13,869532,65469,5.0,1.0
14,20480,65469,5.0,1.0
15,143721,65469,5.0,1.0
16,227978,65469,4.0,0.75
17,469903,65469,5.0,1.0
18,226863,65469,5.0,1.0
19,189280,65469,5.0,1.0
20,213139,65469,4.0,0.75
21,470351,65469,4.0,0.75
22,655596,65469,5.0,1.0
23,212609,65469,5.0,1.0
24,407338,65469,5.0,1.0
25,111678,65469,5.0,1.0
26,280271,65469,5.0,1.0
27,136997,65469,5.0,1.0
28,243474,65469,5.0,1.0
29,37636,65469,4.0,0.75
30,337963,65469,4.0,0.75
31,171790,65469,5.0,1.0
32,570795,65469,5.0,1.0
33,340503,65469,5.0,1.0
34,330505,65469,4.0,0.75
35,265954,65469,4.0,0.75
36,305531,65469,5.0,1.0
37,706646,65469,5.0,1.0
38,593159,65469,3.0,0.5
39,437974,65469,5.0,1.0
40,39038,65469,4.0,0.75
41,126435,65469,5.0,1.0
42,428885,65469,5.0,1.0
43,220166,65469,5.0,1.0
44,225096,65469,5.0,1.0
45,32772,65469,5.0,1.0
46,88099,65469,4.0,0.75
47,56112,65469,4.0,0.75
48,211184,65469,5.0,1.0
49,209747,65469,5.0,1.0
50,269521,65469,5.0,1.0
51,180898,65469,5.0,1.0
52,40961,65469,5.0,1.0
53,209983,65469,5.0,1.0
54,51011,65469,5.0,1.0
55,37449,65469,5.0,1.0
56,97901,65469,4.0,0.75
57,72489,65469,5.0,1.0
58,15851,65469,4.0,0.75
59,54678,65469,5.0,1.0
60,35526,65469,5.0,1.0
61,2002205056,21706,4.0,0.75
62,334969,133091,5.0,1.0
63,2002575892,72826,5.0,1.0
64,2002601233,72826,5.0,1.0
65,2002105675,72826,5.0,1.0
66,1731333,72826,2.5,0.375
67,200339,72826,5.0,1.0
68,2002312892,72826,2.5,0.375
69,2001899232,72826,2.5,0.375
70,2001727991,72826,2.5,0.375
71,2001466790,72826,5.0,1.0
72,2001459290,72826,5.0,1.0
73,1222615,72826,5.0,1.0
74,2001319662,72826,5.0,1.0
75,2001318168,72826,2.5,0.375
76,2001294422,72826,5.0,1.0
77,2000474209,72826,5.0,1.0
78,2000431901,72826,5.0,1.0
79,2000278791,72826,2.5,0.375
80,2000181365,72826,5.0,1.0
81,839492,72826,5.0,1.0
82,1802714022,72826,2.5,0.375
83,1802486085,72826,5.0,1.0
84,1870608,72826,5.0,1.0
85,118161,72826,5.0,1.0
86,2205185,72826,5.0,1.0
87,363055,72826,5.0,1.0
88,1058174,72826,5.0,1.0
89,4740,72826,5.0,1.0
90,1109252,72826,5.0,1.0
91,207176,72826,4.0,0.75
92,61995,72826,5.0,1.0
93,755277,72826,5.0,1.0
94,43083,72826,4.0,0.75
95,445492,72826,5.0,1.0
96,375111,72826,4.0,0.75
97,127933,72826,5.0,1.0
98,251917,72826,5.0,1.0
99,185446,72826,5.0,1.0
100,276833,72826,5.0,1.0
101,186825,72826,5.0,1.0
102,177737,72826,5.0,1.0
103,42403,72826,5.0,1.0
104,38865,72826,4.0,0.75
105,23199,72826,5.0,1.0
106,13340,72826,5.0,1.0
107,60989,72826,5.0,1.0
108,58104,72826,5.0,1.0
109,87144,72826,5.0,1.0
110,830498,21706,3.0,0.5
111,239028,48588,5.0,1.0
112,41509,133091,5.0,1.0
113,140008,133091,4.0,0.75
114,1658850,133091,5.0,1.0
115,841895,133091,4.0,0.75
116,1184867,133091,5.0,1.0
117,1962600,133091,5.0,1.0
118,1293563,133091,1.0,0.0
119,1356721,133091,5.0,1.0
120,158086,133091,5.0,1.0
121,724593,133091,5.0,1.0
122,1419690,133091,5.0,1.0
123,1319585,133091,4.0,0.75
124,147095,133091,4.0,0.75
125,167277,133091,3.0,0.5
126,1008977,133091,4.0,0.75
127,259154,133091,4.0,0.75
128,1113957,133091,5.0,1.0
129,137838,133091,5.0,1.0
130,319054,133091,5.0,1.0
131,556011,133091,5.0,1.0
132,226066,133091,5.0,1.0
133,895822,133091,4.0,0.75
134,147109,133091,4.0,0.75
135,494068,133091,5.0,1.0
136,94881,133091,5.0,1.0
137,921541,133091,5.0,1.0
138,500973,133091,5.0,1.0
139,529278,133091,4.0,0.75
140,289522,133091,5.0,1.0
141,488587,133091,4.0,0.75
142,140132,133091,4.0,0.75
143,548189,133091,4.0,0.75
144,154853,133091,4.0,0.75
145,180879,133091,5.0,1.0
146,2000893147,24019,5.0,1.0
147,41848,24019,5.0,1.0
148,1800901586,24019,2.5,0.375
149,1971334,24019,3.0,0.5
150,1800185002,24019,5.0,1.0
151,169712,133091,4.0,0.75
152,196038,133091,5.0,1.0
153,341513,133091,4.0,0.75
154,326051,133091,4.0,0.75
155,246266,133091,5.0,1.0
156,2099284,24019,5.0,1.0
157,2697787,24019,5.0,1.0
158,2437801,24019,2.0,0.25
159,1689463,24019,5.0,1.0
160,438582,24019,5.0,1.0
161,182559,133091,5.0,1.0
162,348241,133091,5.0,1.0
163,362082,133091,4.0,0.75
164,362983,24019,5.0,1.0
165,1867774,24019,5.0,1.0
166,1658850,24019,4.0,0.75
167,1603375,24019,3.0,0.5
168,1368530,24019,5.0,1.0
169,357257,133091,4.0,0.75
170,273405,133091,5.0,1.0
171,363398,133091,5.0,1.0
172,27301,133091,5.0,1.0
173,101732,133091,5.0,1.0
174,33135,24019,4.0,0.75
175,58762,24019,3.0,0.5
176,8629,24019,4.0,0.75
177,298545,24019,5.0,1.0
178,714171,24019,3.0,0.5
179,81098,133091,4.0,0.75
180,127180,133091,5.0,1.0
181,310001,133091,5.0,1.0
182,147600,133091,5.0,1.0
183,285467,133091,5.0,1.0
184,712584,24019,4.0,0.75
185,780046,24019,4.0,0.75
186,199213,24019,4.0,0.75
187,129652,24019,3.0,0.5
188,64702,133091,5.0,1.0
189,115654,133091,5.0,1.0
190,197244,133091,5.0,1.0
191,134487,133091,5.0,1.0
192,520701,24019,3.0,0.5
193,949568,24019,5.0,1.0
194,229619,24019,4.0,0.75
195,59780,133091,5.0,1.0
196,161953,133091,5.0,1.0
197,50969,24019,4.0,0.75
198,805309,24019,4.0,0.75
199,246936,24019,5.0,1.0
200,46941,24019,3.0,0.5
201,1803116783,46886,5.0,1.0
202,914720,46886,5.0,1.0
203,383795,46886,5.0,1.0
204,870704,24019,5.0,1.0
205,158086,24019,5.0,1.0
206,424494,24019,3.0,0.5
207,774665,24019,4.0,0.75
208,2012696,46886,2.5,0.375
209,1932038,46886,5.0,1.0
210,165933,46886,5.0,1.0
211,477411,24019,4.0,0.75
212,804550,24019,5.0,1.0
213,140132,24019,4.0,0.75
214,39301,24019,4.0,0.75
215,295741,24019,5.0,1.0
216,227607,46886,5.0,1.0
217,158086,46886,5.0,1.0
218,31695,46886,5.0,1.0
219,209382,46886,5.0,1.0
220,54697,24019,4.0,0.75
221,377499,24019,5.0,1.0
222,681465,24019,2.5,0.375
223,122001,24019,4.0,0.75
224,237795,24019,3.0,0.5
225,335469,46886,5.0,1.0
226,386849,46886,4.0,0.75
227,84524,46886,5.0,1.0
228,1267399,46886,5.0,1.0
229,667915,46886,5.0,1.0
230,184890,24019,5.0,1.0
231,171924,24019,4.0,0.75
232,294705,24019,4.0,0.75
233,598608,24019,5.0,1.0
234,388414,24019,4.0,0.75
235,1190532,46886,5.0,1.0
236,840768,46886,5.0,1.0
237,593424,46886,5.0,1.0
238,224952,46886,5.0,1.0
239,569632,46886,5.0,1.0
240,567976,24019,5.0,1.0
241,231054,24019,5.0,1.0
242,377039,24019,2.5,0.375
243,556198,24019,3.0,0.5
244,574374,24019,5.0,1.0
245,620763,46886,5.0,1.0
246,679131,46886,2.5,0.375
247,373495,46886,5.0,1.0
248,760505,46886,5.0,1.0
249,584386,46886,5.0,1.0
250,251917,24019,5.0,1.0
251,218535,24019,2.0,0.25
252,498271,24019,4.0,0.75
253,333017,24019,5.0,1.0
254,550294,46886,5.0,1.0
255,487387,46886,5.0,1.0
256,212088,46886,5.0,1.0
257,233491,24019,5.0,1.0
258,244817,24019,5.0,1.0
259,148903,46886,5.0,1.0
260,371738,24019,5.0,1.0
261,121275,24019,5.0,1.0
262,219865,24019,4.0,0.75
263,115088,46886,5.0,1.0
264,407338,46886,5.0,1.0
265,500973,46886,5.0,1.0
266,408471,46886,3.0,0.5
267,137165,24019,4.0,0.75
268,353684,24019,5.0,1.0
269,230756,24019,5.0,1.0
270,359553,24019,5.0,1.0
271,369172,46886,2.0,0.25
272,88099,46886,5.0,1.0
273,41490,46886,5.0,1.0
274,171920,24019,5.0,1.0
275,309967,24019,5.0,1.0
276,57101,24019,5.0,1.0
277,213114,24019,5.0,1.0
278,117781,24019,4.0,0.75
279,39334,46886,5.0,1.0
280,83642,46886,5.0,1.0
281,191220,46886,5.0,1.0
282,205786,46886,5.0,1.0
283,282132,24019,4.0,0.75
284,68960,24019,4.0,0.75
285,252450,24019,5.0,1.0
286,173579,24019,5.0,1.0
287,200655,46886,5.0,1.0
288,242766,46886,5.0,1.0
289,114468,46886,5.0,1.0
290,172369,46886,5.0,1.0
291,103245,46886,5.0,1.0
292,9869,24019,5.0,1.0
293,142878,24019,5.0,1.0
294,134011,24019,5.0,1.0
295,141042,46886,5.0,1.0
296,73836,46886,5.0,1.0
297,149363,46886,5.0,1.0
298,50151,24019,4.0,0.75
299,104295,24019,5.0,1.0
300,181447,24019,4.0,0.75
301,60989,24019,4.0,0.75
302,82648,24019,5.0,1.0
303,59780,46886,5.0,1.0
304,29212,24019,4.0,0.75
305,126104,46886,5.0,1.0
306,97823,46886,5.0,1.0
307,27629,24019,5.0,1.0
308,66889,24019,5.0,1.0
309,55655,24019,5.0,1.0
310,60992,24019,5.0,1.0
311,37713,24019,5.0,1.0
312,15851,46886,5.0,1.0
313,68067,46886,4.0,0.75
314,45654,46886,5.0,1.0
315,50973,46886,4.0,0.75
316,20480,46886,2.5,0.375
317,968257,123809,4.0,0.75
318,1354351,123809,4.0,0.75
319,197456,123809,5.0,1.0
320,1800043164,123809,4.0,0.75
321,526614,123809,5.0,1.0
