recipe_id,title,calories,totalFat,saturatedFat,sugars,sodium,protein,who_score,who_normalized,health_category,tags,ingredients,duration,health_score
113861,My Own Cube Steak and Gravy,500.5,24.0,9.4,0.8,824.1,48.0,0.2668337510442773,0.7176780334675071,unhealthy,"['60-minutes-or-less', 'time-to-make', 'main-ingredient', 'preparation', 'occasion', 'beef', 'stove-top', 'dietary', 'comfort-food', 'high-protein', 'low-carb', 'high-in-something', 'low-in-something', 'meat', 'taste-mood', 'equipment']","{'': [('cubed steak (4-6 pieces)', '2  time(s) lbs '), ('oil', '2  time(s) tablespoons '), ('butter', '0.5 time(s) teaspoon '), ('flour', '1  time(s) cup '), ('salt', '1  time(s) teaspoon '), ('onion powder', '1  time(s) teaspoon '), ('garlic powder', '1  time(s) teaspoon '), ('black pepper', '1  time(s) teaspoon '), ('cream of mushroom soup', '1 time(s) (10 ounce) '), ('water', '1  time(s) cup '), ('heavy whipping cream or 1/2 cup $template2$', '0.5 time(s) cup ')]}",60.0,0.7176780334675071
111212,Our Secret Sirloin Steak,823.6,55.8,22.0,3.4,847.5,69.5,0.1868630720770798,0.4753426426578176,unhealthy,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'south-west-pacific', 'very-low-carbs', 'main-dish', 'beef', 'australian', 'dinner-party', 'dietary', 'high-protein', 'low-carb', 'high-in-something', 'low-in-something', 'meat', 'steak', '4-hours-or-less']","{'': [('Lea & Perrins Worcestershire Sauce, plus', '0.25 time(s) cup '), ('Lea & Perrins Worcestershire Sauce, divided', '1  time(s) teaspoon '), ('lemon juice or 2 tablespoons $template2$', '2  time(s) tablespoons '), ('olive oil', '2  time(s) tablespoons '), ('instant minced onion', '0.25 time(s) cup '), ('salt', '0.75 time(s) teaspoon '), ('instant minced garlic', '0.5 time(s) teaspoon '), ('sirloin steaks', '3  time(s) lbs '), ('butter or 2 tablespoons $template2$', '2  time(s) tablespoons '), ('chopped parsley', '1  time(s) tablespoon ')]}",155.0,0.4753426426578176
497021,Mile-High Cabbage Pie #5FIX,803.0,33.2,10.8,10.7,1698.9,48.7,0.2666929030565394,0.7172512213834529,unhealthy,"['weeknight', '60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', '5-ingredients-or-less', 'casseroles', 'main-dish', 'beef', 'potatoes', 'vegetables', 'easy', 'one-dish-meal', 'inexpensive', 'meat', 'simply-potatoes']","{'': [('lean ground beef', '1 1/2 time(s) lbs '), ('coleslaw mix (cabbage and carrots)', '1 time(s) (16 ounce) bag '), ('Simply Potatoes Diced Potatoes with Onion', '1 time(s) (14 1/2 ounce) bag '), ('cream of mushroom soup, undiluted', '2 time(s) (10 1/2 ounce) cans '), ('refrigerated crescent dinner rolls', '2 time(s) (8 ounce) cans ')]}",60.0,0.7172512213834529
31184,15 Minute Shrimp Scampi,596.2,46.3,14.9,2.2,1231.1,26.7,0.1698139025725232,0.4236784926440098,unhealthy,"['15-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'main-dish', 'pasta', 'seafood', 'easy', 'european', 'dinner-party', 'romantic', 'italian', 'shrimp', 'stove-top', 'dietary', 'one-dish-meal', 'pasta-rice-and-grains', 'shellfish', 'taste-mood', 'equipment']","{'': [('extra virgin olive oil', '0.5 time(s) cup '), ('large onion, chopped fine or processed', '1  time(s) '), ('cloves garlic, crushed', '6  time(s) '), ('white wine (nearly any kind, just not overly sweet)', '1  time(s) cup '), ('butter', '6  time(s) tablespoons '), ('precooked jumbo frozen shrimp, thawed', '1  time(s) lb '), ('salt & pepper', ' time(s) '), ('package angel hair pasta', '1  time(s) ')]}",15.0,0.4236784926440098
71739,Easy Garlic Rice,264.2,7.8,1.2,1.6,379.4,6.3,0.2221651250428229,0.5823185607358271,neutral,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'preparation', 'occasion', 'healthy', 'side-dishes', 'rice', 'easy', 'dinner-party', 'stove-top', 'dietary', 'low-cholesterol', 'low-saturated-fat', 'low-in-something', 'pasta-rice-and-grains', 'long-grain-rice', 'equipment', '3-steps-or-less']","{'': [('olive oil', '2  time(s) tablespoons '), ('medium onion, chopped fine', '1  time(s) '), ('garlic cloves, minced fine', '3  time(s) '), ('long grain rice', '1  time(s) cup '), ('chicken broth', '2  time(s) cups '), ('dried thyme', '0.5 time(s) teaspoon '), ('bay leaf', '1  time(s) '), ('parsley, chopped', '0.25 time(s) cup ')]}",45.0,0.5823185607358271
117281,Kittencal's Hamburger/Burger Buns,206.3,5.6,1.5,5.4,303.8,5.1,0.1927170868347339,0.4930820813173755,unhealthy,"['time-to-make', 'course', 'preparation', 'healthy', 'breads', 'dietary', 'low-cholesterol', 'healthy-2', 'yeast', 'low-in-something', '4-hours-or-less']","{'': [('warm water', '1  time(s) cup '), ('sugar', '1  time(s) teaspoon '), ('dry yeast', '1  time(s) tablespoon '), ('warm whole milk', '0.75 time(s) cup '), ('sugar (for a less sweeter bun reduce to 3 tablespoons)', '4  time(s) tablespoons '), ('melted Crisco shortening (I use butter flavor)', '0.25 time(s) cup '), ('salt', '1 1/2 time(s) teaspoons '), ('all-purpose white flour (U.S. residents use bread flour, you may need more four start with 3-1/2 cups and add in more while m)', '3 1/2 time(s) cups '), ('white', '1  time(s) egg '), ('water', '1  time(s) teaspoon '), ('sesame seeds', '1  time(s) tablespoon ')]}",142.0,0.4930820813173755
11194,Latkes (Potato Pancakes),131.9,1.1,0.4,1.6,273.6,4.4,0.2529761904761904,0.6756854256854256,healthy,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'low-protein', 'healthy', 'pancakes-and-waffles', 'breakfast', 'side-dishes', 'potatoes', 'vegetables', 'german', 'european', 'heirloom-historical', 'holiday-event', 'low-fat', 'stove-top', 'dietary', 'hanukkah', 'low-saturated-fat', 'low-calorie', 'low-in-something', 'equipment']","{'': [('potatoes', '3  time(s) lbs '), ('eggs', '2 time(s) '), ('salt', '1  time(s) teaspoon '), ('all-purpose flour or 3 tablespoons $template2$', '3  time(s) tablespoons '), ('baking powder', '0.5 time(s) teaspoon '), ('onion, minced', '1  time(s) '), ('black pepper, to taste', ' time(s) '), ('paprika, to taste', ' time(s) '), ('vegetable oil (for frying)', ' time(s) ')]}",50.0,0.6756854256854256
92136,Kids Love S'mores Pops!!,277.1,9.1,4.4,32.5,129.0,2.9,0.3063725490196078,0.8374925727866905,unhealthy,"['60-minutes-or-less', 'time-to-make', 'course', 'preparation', 'for-large-groups', '5-ingredients-or-less', 'appetizers', 'desserts', 'easy', 'kid-friendly', 'dietary', 'number-of-servings']","{'': [('large marshmallows', '1 time(s) (16 ounce) bag '), ('chocolate chips (or whatever chocolate you like to melt)', '1 time(s) (16 ounce) bag '), ('package graham crackers', '1 time(s) (16 ounce) ')]}",40.0,0.8374925727866905
11630,Awful Potatoes,612.6,36.2,20.9,6.5,337.1,14.6,0.2046031746031746,0.5291005291005292,unhealthy,"['60-minutes-or-less', 'time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', 'north-american', 'side-dishes', 'potatoes', 'vegetables', 'american', 'oven', 'dinner-party', 'holiday-event', 'vegetarian', 'easter', 'dietary', 'christmas', 'thanksgiving', 'low-sodium', 'comfort-food', 'low-in-something', 'taste-mood', 'equipment']","{'': [('potatoes, peeled', '6 -8  time(s) '), ('water (to cover)', ' time(s) '), ('salt', ' time(s) '), ('carton sour cream, to taste', '1 time(s) (8 ounce) '), ('cream cheese', '8  time(s) ounces '), ('garlic salt', ' time(s) '), ('cheddar cheese, grated', '0.5 time(s) cup ')]}",60.0,0.5291005291005292
146022,Polish Appetizer,364.9,20.8,7.0,24.5,722.8,9.7,0.1074074074074074,0.2345679012345679,very_unhealthy,"['time-to-make', 'course', 'main-ingredient', 'cuisine', 'preparation', 'occasion', '5-ingredients-or-less', 'appetizers', 'beef', 'easy', 'european', 'beginner-cook', 'dinner-party', 'holiday-event', 'polish', 'meat', 'beef-sausage', '4-hours-or-less']","{'': [('kielbasa', '1  time(s) lb '), ('apricot preserves', '1  time(s) cup '), ('lemon juice', '2  time(s) tablespoons '), ('Dijon mustard', '2  time(s) teaspoons '), ('ginger powder', '0.25 time(s) teaspoon ')]}",70.0,0.2345679012345679
